date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:55	338662/338662	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2002:59:55%20GMT	https://furniturecollection.us/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/index.html	(from )
19:59:57	118/118	---MCZ	200	added ('OK')	text/plain	date:Thu,%2025%20May%202023%2002:59:57%20GMT	https://furniturecollection.us/robots.txt		(from )
20:00:01	108182/108182	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20May%202023%2003:00:01%20GMT	https://furniturecollection.us/wp-content/themes/apar/fonts/icomoon.ttf	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/wp-content/themes/apar/fonts/icomoon.ttf	(from https://furniturecollection.us/)
20:00:06	108182/108182	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20May%202023%2003:00:06%20GMT	https://furniturecollection.us/o,baseURI	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/o,baseURI	(from https://furniturecollection.us/)
20:00:10	108182/108182	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20May%202023%2003:00:10%20GMT	https://furniturecollection.us/GET	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/GET	(from https://furniturecollection.us/)
20:00:13	33372/33372	---MC-	200	added ('OK')	application/rss+xml	etag:%226c4c58e7267c688ee050b60ba2e2e94d%22	https://furniturecollection.us/feed/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/feed/index.html	(from https://furniturecollection.us/)
20:00:13	1091846/1091846	---MCZ	200	added ('OK')	application/json	date:Thu,%2025%20May%202023%2003:00:13%20GMT	https://furniturecollection.us/wp-json/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/wp-json/index.html	(from https://furniturecollection.us/)
20:00:14	69449/69449	---MCZ	200	added ('OK')	application/json	date:Thu,%2025%20May%202023%2003:00:14%20GMT	https://furniturecollection.us/wp-json/wp/v2/pages/14	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/wp-json/wp/v2/pages/14.json	(from https://furniturecollection.us/)
20:00:14	108182/108182	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20May%202023%2003:00:14%20GMT	https://furniturecollection.us/Edge/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/Edge/index.html	(from https://furniturecollection.us/)
20:00:16	846/846	---MCZ	200	added ('OK')	text/xml	date:Thu,%2025%20May%202023%2003:00:16%20GMT	https://furniturecollection.us/xmlrpc.php?rsd	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/xmlrpc0db0.php	(from https://furniturecollection.us/)
20:00:16	1045/1045	---MCZ	200	added ('OK')	application/xml	date:Thu,%2004%20Oct%202018%2002:21:49%20GMT	https://furniturecollection.us/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/wp-includes/wlwmanifest.xml	(from https://furniturecollection.us/)
20:00:19	2351/2351	---MCZ	200	added ('OK')	application/json	date:Thu,%2025%20May%202023%2003:00:19%20GMT	https://furniturecollection.us/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffurniturecollection.us%2F	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/wp-json/oembed/1.0/embed10d2.json	(from https://furniturecollection.us/)
20:00:21	2405/2405	---MCZ	200	added ('OK')	text/xml	date:Thu,%2025%20May%202023%2003:00:21%20GMT	https://furniturecollection.us/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffurniturecollection.us%2F&format=xml	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/wp-json/oembed/1.0/embedbb68	(from https://furniturecollection.us/)
20:00:22	948/948	---M--	200	added ('OK')	image/jpeg	etag:%226465454f-43e%22	https://cdn-jabdl.nitrocdn.com/eouPtHQIIvNdxQebniYPbrcuWAorpzFr/assets/images/optimized/wp-content/uploads/2019/04/cbb2c02ed2a3ebd375f2d971b2c35b77.cropped-FC-Gold-32x32.jpg	C:/My%20Web%20Sites/Furniture%20Collection/cdn-jabdl.nitrocdn.com/eouPtHQIIvNdxQebniYPbrcuWAorpzFr/assets/images/optimized/wp-content/uploads/2019/04/cbb2c02ed2a3ebd375f2d971b2c35b77.cropped-FC-Gold-32x32.jpg	(from https://furniturecollection.us/)
20:00:22	7847/7847	---M--	200	added ('OK')	image/jpeg	etag:%226465454f-1f33%22	https://cdn-jabdl.nitrocdn.com/eouPtHQIIvNdxQebniYPbrcuWAorpzFr/assets/images/optimized/wp-content/uploads/2019/04/c5ddafee615c01003fddf4702dacc07c.cropped-FC-Gold-192x192.jpg	C:/My%20Web%20Sites/Furniture%20Collection/cdn-jabdl.nitrocdn.com/eouPtHQIIvNdxQebniYPbrcuWAorpzFr/assets/images/optimized/wp-content/uploads/2019/04/c5ddafee615c01003fddf4702dacc07c.cropped-FC-Gold-192x192.jpg	(from https://furniturecollection.us/)
20:00:22	7091/7091	---M--	200	added ('OK')	image/jpeg	etag:%226465454f-1c3f%22	https://cdn-jabdl.nitrocdn.com/eouPtHQIIvNdxQebniYPbrcuWAorpzFr/assets/images/optimized/wp-content/uploads/2019/04/d85cd93976e20d6b3323ac1728de6d6d.cropped-FC-Gold-180x180.jpg	C:/My%20Web%20Sites/Furniture%20Collection/cdn-jabdl.nitrocdn.com/eouPtHQIIvNdxQebniYPbrcuWAorpzFr/assets/images/optimized/wp-content/uploads/2019/04/d85cd93976e20d6b3323ac1728de6d6d.cropped-FC-Gold-180x180.jpg	(from https://furniturecollection.us/)
20:00:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20May%202023%2003:00:25%20GMT	https://furniturecollection.us/e	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/e	(from https://furniturecollection.us/)
20:00:26	690798/690798	---M--	200	added ('OK')	image/jpeg	etag:%2264654556-a8af2%22	https://cdn-jabdl.nitrocdn.com/eouPtHQIIvNdxQebniYPbrcuWAorpzFr/assets/images/optimized/wp-content/uploads/2018/09/cc0ce1d7824669700a64f26c7666e182.Group-16-scaled.jpg	C:/My%20Web%20Sites/Furniture%20Collection/cdn-jabdl.nitrocdn.com/eouPtHQIIvNdxQebniYPbrcuWAorpzFr/assets/images/optimized/wp-content/uploads/2018/09/cc0ce1d7824669700a64f26c7666e182.Group-16-scaled.jpg	(from https://furniturecollection.us/)
20:00:26	288303/288303	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2003:00:26%20GMT	https://furniturecollection.us/about-us-2/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/about-us-2/index.html	(from https://furniturecollection.us/)
20:00:27	311785/311785	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2003:00:27%20GMT	https://furniturecollection.us/our-collection/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/our-collection/index.html	(from https://furniturecollection.us/)
20:00:28	425807/425807	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2003:00:27%20GMT	https://furniturecollection.us/best-sellers/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/best-sellers/index.html	(from https://furniturecollection.us/)
20:00:28	275663/275663	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2003:00:27%20GMT	https://furniturecollection.us/my-wish-list/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/my-wish-list/index.html	(from https://furniturecollection.us/)
20:00:28	316790/316790	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2003:00:28%20GMT	https://furniturecollection.us/contact/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/contact/index.html	(from https://furniturecollection.us/)
20:00:28	328616/328616	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2003:00:28%20GMT	https://furniturecollection.us/product/shawl-dining-room-set/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/product/shawl-dining-room-set/index.html	(from https://furniturecollection.us/)
20:00:29	333753/333753	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2003:00:29%20GMT	https://furniturecollection.us/product/glory-dining-room-set/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/product/glory-dining-room-set/index.html	(from https://furniturecollection.us/)
20:00:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20May%202023%2003:00:29%20GMT	https://furniturecollection.us/%22data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw==%22	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/_data_image/gif;base64,R0lGODlhAQABAIABAAAAAP/yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw==_.d.delayed	(from https://furniturecollection.us/)
20:00:30	122054/122054	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2003:00:29%20GMT	https://furniturecollection.us/enquiry-cart/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/enquiry-cart/index.html	(from https://furniturecollection.us/)
20:00:33	146454/146454	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20May%202023%2003:00:32%20GMT	https://furniturecollection.us/product/mustang-dining-room-set/	C:/My%20Web%20Sites/Furniture%20Collection/furniturecollection.us/product/mustang-dining-room-set/index.html	(from https://furniturecollection.us/)
